# shard C = every git checkout of this repository on host 8HD-6, judged by jharv3 by CONTENT against origin/main a00f53f2094 (v1.11.66)
# SNAPSHOT as of 2026-08-21T17:45:36Z. This host is LIVE: run bin/recheck_drift.sh before acting on any row.
# verdict is the DECISION only. Nothing was deleted; deleting is the owner-s call.
#host	clone	checkout	branch	head	verdict	class	own	differ	novel	superseded	trk	unt	volatile
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/vibe-ic	fix/1410-replay-aggregate-budget	9757886ec	KEEP	KEEP_NOVEL_CONTENT	4	4	4	0	0	141	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_L1347	(detached)	f2080e142	KEEP	KEEP_SUPERSEDED_CONTENT_DIFFERS	3	2	0	2	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_cpath_priv/base	(detached)	867de4289	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_cpath_priv/tree	cpath/pad-and-seal-ring-chip-path	af1072b95	KEEP	KEEP_NOVEL_CONTENT	10	5	4	1	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_dens_priv/wt-jdrc1177	fix/die-density	6aa0d6abf	KEEP	KEEP_NOVEL_CONTENT	7	3	2	1	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_dens_priv/wt-jdrc1177-base	(detached)	eda53573f	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_fix11	(detached)	8e858cc68	KEEP	KEEP_NOVEL_CONTENT	10	7	5	2	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_fix11_base	(detached)	d45922bc3	KEEP	KEEP_NOVEL_CONTENT	9	7	6	1	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_g360	measure/g360-circuit-drc	596e7620d	DROP	DROP_ALL_FILES_MATCH	3	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_gf180b_priv/tree	(detached)	a00f53f20	DROP	DROP_ALL_FILES_MATCH	0	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_gk1347	(detached)	aa3b36768	KEEP	KEEP_NOVEL_CONTENT	5	5	5	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_gk1734	(detached)	89d4fb6ea	KEEP	KEEP_NOVEL_CONTENT	2	2	2	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_gk1744	(detached)	c38815f73	KEEP	KEEP_NOVEL_CONTENT	24	6	4	2	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_gkpr1759	gk1759	f50573cbe	KEEP	KEEP_NOVEL_CONTENT	15	12	9	3	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_green	(detached)	5935ae020	KEEP	KEEP_NOVEL_CONTENT	4	3	2	1	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_gsplit	measure/gsplit-seal-ring-drc	81799d312	DROP	DROP_ALL_FILES_MATCH	1	0	0	0	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_gsw_green	(detached)	5935ae020	KEEP	KEEP_NOVEL_CONTENT	4	3	2	1	0	0	no
8HD-6	/home/reyerchu/vibe-ic	/home/reyerchu/_i1348	(detached)	b74d5d0a4	KEEP	KEEP_NOVEL_CONTENT	4	4	4	0	0	0	no
