cls,kind,file,line,seconds,direct,callee,enclosing,failing_verdict
A,subprocess timeout=,plugin/mcp-eda/src/devices/fpga/terasic-de10lite/driver.py,230,20,yes,run,mode_detect,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/src/devices/fpga/terasic-de10lite/driver.py,245,20,yes,run,mode_detect,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/src/devices/fpga/terasic-de10lite/driver.py,911,110,yes,run,mode_program,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/src/devices/fpga/terasic-de10lite/driver.py,1128,30,yes,run,mode_adc_read,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_eda_doctor_container_ceiling.py,53,60,yes,subprocess.run,_run,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_eda_equiv_script.py,114,60,yes,subprocess.run,_yosys_equiv,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_eda_lvs_netgen_verdict_and_magic_ports.py,159,30,yes,subprocess.run,_node_classify,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_eda_lvs_netgen_verdict_and_magic_ports.py,244,30,yes,subprocess.run,test_resolve_layout_top_flat_alignment,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_eda_lvs_netgen_verdict_and_magic_ports.py,260,30,yes,subprocess.run,test_stdcell_spice_path_per_pdk,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_eda_lvs_netgen_verdict_and_magic_ports.py,281,30,yes,subprocess.run,test_build_netgen_lvs_tcl_loads_stdcell_into_schematic,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_exec_timeout_kills_the_tool_in_the_container.py,103,60,yes,subprocess.run,_drive,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_exec_timeout_kills_the_tool_in_the_container.py,187,30,yes,subprocess.run,_container_up,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_exec_timeout_kills_the_tool_in_the_container.py,224,30,yes,subprocess.run,test_on_real_docker_only_the_inner_timeout_leaves_nothing_behind,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_exec_timeout_kills_the_tool_in_the_container.py,234,30,yes,subprocess.run,test_on_real_docker_only_the_inner_timeout_leaves_nothing_behind,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_exec_timeout_kills_the_tool_in_the_container.py,253,60,yes,subprocess.run,test_on_real_docker_only_the_inner_timeout_leaves_nothing_behind,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_g_antenna_reroute_thread_parallel.py,41,30,yes,subprocess.run,_node,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_manifest_required_metrics.py,87,60,yes,subprocess.run,_gate,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_manifest_required_metrics.py,222,60,yes,subprocess.run,_parse,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_mcp_live_probe.py,107,timeout,call-through,self.recv,request,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_mcp_live_probe.py,174,30,call-through,p.request,check_resource_read,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_mcp_tool_honesty.py,121,30,yes,subprocess.run,_eval_match,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_mcp_tool_honesty.py,256,30,yes,subprocess.run,test_sta_verdict_is_not_the_exit_code,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_mcp_tool_honesty.py,300,30,yes,subprocess.run,test_the_sta_manifest_status_distinguishes_pass_violation_and_unconstrained,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_mcp_tool_honesty.py,314,30,yes,subprocess.run,test_sta_error_regex_catches_openroad_errors,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_mcp_tool_honesty.py,321,30,yes,subprocess.run,test_sta_error_regex_catches_openroad_errors,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_mcp_tool_honesty.py,341,30,yes,subprocess.run,test_sta_slack_regex_matches_real_opensta_output,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_mcp_tool_honesty.py,384,30,yes,subprocess.run,test_sta_clockless_fixture_parses_as_unconstrained,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_no_unguarded_burn_sentinel.py,59,_BOUND_S,yes,subprocess.run,_run_sentinel,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_no_unguarded_burn_sentinel.py,176,_BOUND_S,yes,subprocess.run,test_zero_denominator_refuses_instead_of_certifying,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_openroad_exit_truth.py,81,30,yes,subprocess.run,_node,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_openroad_exit_truth.py,402,30,yes,subprocess.run,_assertion_tcl,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_openroad_exit_truth.py,432,60,yes,subprocess.run,_run_trio,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_restart_eda_pinned_default.py,53,180,yes,subprocess.run,_resolve,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_sta_evidence_and_conjunction.py,82,60,yes,subprocess.run,_evaluate,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_sta_linkage_rule_not_a_size_test.py,105,60,yes,subprocess.run,_js,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_v0_114_6_command_injection_guards.py,84,30,yes,subprocess.run,test_validators_reject_injection_and_accept_legit,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_v1_3_53_mcp_antenna_loop_parity.py,66,30,yes,subprocess.run,_emit,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/mcp-eda/test/test_v1_3_53_mcp_antenna_loop_parity.py,130,60,yes,subprocess.run,test_antenna_block_parses_and_evaluates_in_tclsh,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/_container_exec.py,129,int(deadline_s) + int(client_grace_s),yes,subprocess.run,run_in_container,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/_corpus_location.py,267,timeout,yes,subprocess.run,not_a_checkout_reason,handler records a FAILING verdict
A,subprocess timeout=,plugin/programs/_docker_watchdog.py,134,timeout,call-through,read_job_pid,container_cpu_seconds,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/_docker_watchdog.py,145,timeout,call-through,docker_exec_raw,container_cpu_seconds,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/_docker_watchdog.py,153,timeout,call-through,docker_exec_raw,container_cpu_seconds,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/_docker_watchdog.py,452,stall_grace_s,call-through,?,run_docker_supervised,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/_eda_image.py,130,timeout,yes,subprocess.run,_run,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/_klayout_launch.py,222,30,yes,subprocess.run,exists,handler records a FAILING verdict
A,subprocess timeout=,plugin/programs/_klayout_launch.py,232,30,yes,subprocess.run,_container_has_klayout,handler records a FAILING verdict
A,subprocess timeout=,plugin/programs/_owned_process_supervisor.py,667,stall_grace_s,call-through,?,run_owned,handler records a FAILING verdict
A,subprocess timeout=,plugin/programs/_owned_process_supervisor.py,915,args.stall_grace,call-through,?,main,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/_path_layout.py,798,timeout,yes,subprocess.run,emit_final_summary,handler records a FAILING verdict
A,subprocess timeout=,plugin/programs/_published_tree.py,112,timeout,yes,subprocess.run,_index,handler records a FAILING verdict
A,subprocess timeout=,plugin/programs/_published_tree.py,165,timeout,yes,subprocess.run,_blobs,handler records a FAILING verdict
A,subprocess timeout=,plugin/programs/_watchdog.py,391,stall_grace_s,call-through,?,run_supervised,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/acceptance_evidence_in_fix_comment_check.py,170,30,call-through,urllib.request.urlopen,_fetch_issue_body,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/acceptance_evidence_in_fix_comment_check.py,194,30,call-through,urllib.request.urlopen,_fetch_issue_comments,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_a3_netlist_emit.py,877,300,yes,subprocess.run,verify_with_checkers,handler records a FAILING verdict
A,subprocess timeout=,plugin/programs/analog_a3_netlist_emit.py,898,60,yes,subprocess.run,_docker_ok,handler records a FAILING verdict
A,subprocess timeout=,plugin/programs/analog_hardmacro_gds_emit.py,208,timeout,yes,subprocess.run,_run,handler records a FAILING verdict
A,subprocess timeout=,plugin/programs/analog_hardmacro_gds_emit.py,235,60,call-through,_run,open,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_hardmacro_gds_emit.py,252,120,call-through,_run,put,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_hardmacro_gds_emit.py,273,120,call-through,_run,get,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_hardmacro_gds_emit.py,279,timeout,call-through,_run,sh,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_hardmacro_gds_emit.py,280,timeout,call-through,_run,sh,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_hardmacro_gds_emit.py,284,60,call-through,self.sh,exists,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_hardmacro_gds_emit.py,288,60,call-through,_run,close,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_hardmacro_gds_emit.py,449,120,call-through,stage.sh,pdk_manufacturing_grid_um,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_hardmacro_gds_emit.py,689,60,call-through,stage.sh,run,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_one_shot_runner.py,777,1800,yes,subprocess.run,step_for_block,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_one_shot_runner.py,851,1800,yes,subprocess.run,step_for_block,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_one_shot_runner.py,923,600,yes,subprocess.run,step_for_block,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_one_shot_runner.py,942,1800,yes,subprocess.run,step_for_block,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_one_shot_runner.py,1009,1800,yes,subprocess.run,step_for_block,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_one_shot_runner.py,1046,1800,yes,subprocess.run,step_for_block,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_one_shot_runner.py,1065,1800,yes,subprocess.run,step_for_block,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/analog_real_corner_sweep.py,815,timeout,call-through,?,_docker,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/artefact_defect_close_check.py,174,timeout,yes,subprocess.run,_git,handler records a FAILING verdict
A,subprocess timeout=,plugin/programs/artefact_defect_close_check.py,510,120,call-through,gh_json,fetch_recent_closed,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/attestation_preflight_check.py,138,300,yes,subprocess.run,tracked_drift,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/attestation_preflight_check.py,149,300,yes,subprocess.run,untracked,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/attestation_preflight_check.py,178,120,yes,subprocess.run,main,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/benchmark_run_manifest.py,302,30,yes,subprocess.run,changed_run_dirs,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/bit_level_full_stack_tb_check.py,690,900,yes,subprocess.run,_maybe_run,handler records a FAILING verdict
A,subprocess timeout=,plugin/programs/caravel_wrapper_harden_driver.py,134,60,call-through,runner,docker_image_available,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/caravel_wrapper_harden_driver.py,383,timeout,call-through,runner,run_harden,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/caravel_wrapper_harden_driver.py,550,timeout,call-through,runner,run_merge,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/caravel_wrapper_harden_driver.py,622,timeout,call-through,runner,run_xor,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/ci_ran_at_all_check.py,112,30,yes,subprocess.run,_repo_slug,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/ci_ran_at_all_check.py,124,30,yes,subprocess.run,_head_sha,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/citation_routing_is_true_check.py,252,None,call-through,_corpus.not_a_checkout_reason,semantic_progress_units,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/citation_routing_is_true_check.py,312,None if semantic else 60,call-through,_corpus.not_a_checkout_reason,main,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/cmd_response_conformance_check.py,101,600,yes,subprocess.run,run_hook,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/competing_pr_claim_groups.py,437,SUBPROCESS_TIMEOUT_S,yes,subprocess.run,claimants_from_rev_range,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/crosslayer_rewrite_equivalence.py,739,args.timeout,call-through,_run_yosys_equiv,main,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/crosslayer_rewrite_equivalence.py,768,args.timeout,call-through,_run_yosys_equiv,main,TimeoutExpired escapes -> process crashes / test ERRORs -> recorded as a defect
A,subprocess timeout=,plugin/programs/design_one_shot_runner.py,280,600,yes,subprocess.run,_eco_remediate_with_hint,handler records a FAILING verdict
