host	path	repo	head	branch	kind	prior_verdict	notes
120	/home/reyerchu/advA	/home/reyerchu/vibe-ic	8e73566a76c413ff3d1d29e748965a3fa941798a	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=325 nadd=325 ndel=742 rule=R2 issue=
120	/home/reyerchu/advC	/home/reyerchu/vibe-ic	d8bc700e82a7ec5923330864bc468cac1a3c1578	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=798 nadd=802 ndel=575 rule=R2 issue=
120	/home/reyerchu/advD	/home/reyerchu/vibe-ic	84c3c14bbc4377a3f1367370028dae76f9b9501f	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=8 nadd=8 ndel=0 rule=R2 issue=
120	/home/reyerchu/_advVD/wtB	/home/reyerchu/vibe-ic	23592ff4f493a42571adb477937681d7c6acf367	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=77 nadd=77 ndel=1259 rule=R2 issue=
120	/home/reyerchu/_agentjob_1550/wt	/home/reyerchu/vibe-ic	95367083a0109593e0a8e6f2edbd136d86c20675	refs/heads/hostdep-undrivable-not-hostdep	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=434 nadd=434 ndel=1183 rule=R2 issue=1550
120	/home/reyerchu/_agentjob_i1015/wt	/home/reyerchu/vibe-ic	3d13e2c59eb0e65527326b1f932050550c982188	refs/heads/main	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=0 nadd=0 ndel=0 rule=L2 issue=1015
120	/home/reyerchu/_agentjob_i1015/wt2	/home/reyerchu/vibe-ic	a8e254ad4fdf78946c3f0c7df62cb6e2f0dfc32f	refs/heads/withdraw/nonpassing-published-runs	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=2341 nadd=88227 ndel=6274 rule=R2 issue=1015
120	/home/reyerchu/_agentjob_i1028fix/wt-branch	/home/reyerchu/vibe-ic	48a40be8944463015dda410ddf4b2bd49cbc83db	refs/heads/i1028fix	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=499 nadd=86925 ndel=5557 rule=R2 issue=1028
120	/home/reyerchu/_agentjob_i1028fix/wt-scratch	/home/reyerchu/vibe-ic	027e6691c808f5c27284e8a69ffaa823e1e41d53	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1095 nadd=87523 ndel=6281 rule=R2 issue=1028
120	/home/reyerchu/_agentjob_i1028fix/wt-work	/home/reyerchu/vibe-ic	be8bc20a0519328d0ae6629d0882b6469c59f4bf	refs/heads/i1028fix-work	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1310 nadd=87738 ndel=6784 rule=R2 issue=1028
120	/home/reyerchu/_agentjob_i1424/reb	/home/reyerchu/vibe-ic	caca22fabfe452f4239aa4a4d5a1eaf32fcf9200	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1919 nadd=1919 ndel=3519 rule=R2 issue=1096
120	/home/reyerchu/_agentjob_i1544/wt	/home/reyerchu/vibe-ic	8f3d7634a5e738f2c02e618973e31e98f0cfdbd2	refs/heads/issue1544-v1916-landmarks-by-code-not-prose	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=201 nadd=201 ndel=63 rule=R2 issue=1544
120	/home/reyerchu/_agentjob_j63b/drop	/home/reyerchu/vibe-ic	28f250cdc9f5aacc6137b572510f2cdd652522cc	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1147 nadd=1148 ndel=1545 rule=R2 issue=
120	/home/reyerchu/_agentjob_j63b/wt	/home/reyerchu/vibe-ic	33b02d01dba5581ea99cee8556809cb7004f553b	refs/heads/j63b/matrix-findings	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1544 nadd=1545 ndel=1554 rule=R2 issue=
120	/home/reyerchu/_agentjob_jeco/base	/home/reyerchu/vibe-ic	a00f53f2094812041c8aa6094f27058bc1b14ddd	(detached)	NEW		never judged
120	/home/reyerchu/_agentjob_jeco/wt	/home/reyerchu/vibe-ic	0723c694e085328ec85680fd14cb4d14f690fb34	refs/heads/jeco/eco-readiness-feasibility-axis	NEW		never judged
120	/home/reyerchu/_agentjob_jf63c/wt	/home/reyerchu/vibe-ic	d17a45b6c7f28315ffc1d98f9c42c8384c0e91be	refs/heads/jf63c/matrix-findings	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=872 nadd=872 ndel=411 rule=R2 issue=
120	/home/reyerchu/_agentjob_jf63x8b/wt	/home/reyerchu/vibe-ic	eb3cda880fc0c64c971e7c3aa276fd9dc82d827d	refs/heads/jfind63x8-b	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1087 nadd=1088 ndel=1429 rule=R2 issue=
120	/home/reyerchu/_agentjob_jf63x8e/trial	/home/reyerchu/vibe-ic	c33fd37d8010231f45f63150c07008543150d327	refs/heads/jf63x8e/matrix-findings-work	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1126 nadd=1127 ndel=1400 rule=R2 issue=
120	/home/reyerchu/_agentjob_jf63x8g/dr2	/home/reyerchu/vibe-ic	5fdfe020212fbbdb67fa6da7e5412f36eb9efb4e	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=46 nadd=46 ndel=521 rule=L2 issue=
120	/home/reyerchu/_agentjob_jf63x8h/revert	/home/reyerchu/vibe-ic	3820538bc6f1f471d78412a8ca13dfb1e5b6ccd0	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=493 nadd=511 ndel=540 rule=L2 issue=
120	/home/reyerchu/_agentjob_jfind63x8/wt	/home/reyerchu/vibe-ic	837413bef7f538904f25678b1037117130c29dd9	refs/heads/jfind63x8-matrix-findings	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=508 nadd=508 ndel=486 rule=R2 issue=
120	/home/reyerchu/_agentjob_jliar/wt	/home/reyerchu/vibe-ic	a00f53f2094812041c8aa6094f27058bc1b14ddd	refs/heads/jliar/liar-census-unswept-declaration	NEW		never judged
120	/home/reyerchu/_agentjob_jmut/wt	/home/reyerchu/vibe-ic	1b1becec7b00d6c0d38e3fd61b67352882f9dba8	refs/heads/jmut/gate-mutation-fixtures-both	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1101 nadd=1474 ndel=60 rule=R2 issue=
120	/home/reyerchu/_agentjob_jreq/wt	/home/reyerchu/vibe-ic	4edee5b01fc84efae7d39bd1e4c3b87364633239	refs/heads/jreq/lander-three	NEW		never judged
120	/home/reyerchu/_agentjob_w7b/wt	/home/reyerchu/vibe-ic	a1fad60246fc03089fa725c62f30d6fe4e4a8288	refs/heads/w7b-invariant-locality	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=488 nadd=488 ndel=61 rule=R2 issue=
120	/home/reyerchu/_agent_scratch_whatif/wt_C	/home/reyerchu/_agent_scratch_whatif/repo	e3aa9b126129f7d7040ef16daff0362b2fd2e69b	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=0 nadd=0 ndel=0 rule=L2 issue=
120	/home/reyerchu/_c_sha4_scratch/wt_dftcap	/home/reyerchu/vibe-ic	1d8266755da88dafb0bafc5576f817af61802308	refs/heads/sha4/dft-precondition-not-capability	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=159 nadd=159 ndel=4238 rule=R2 issue=
120	/home/reyerchu/_d9_blind	/home/reyerchu/vibe-ic	1210a8742585eb672702ab92e9e45e70ea952a5d	refs/heads/d9/fix-the-blind-rulers	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=602 nadd=602 ndel=579 rule=R2 issue=
120	/home/reyerchu/_d9_page2	/home/reyerchu/vibe-ic	5295b42ebb966f2ad79ff4a2ee549730dae459cc	refs/heads/docs/d9-flow-gate-page	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=16 nadd=198 ndel=20 rule=R2 issue=
120	/home/reyerchu/_gk1347	/home/reyerchu/vibe-ic	6568bad097556858396aa82328f938291668bc66	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=682 nadd=687 ndel=460 rule=R2 issue=1347
120	/home/reyerchu/_gk_p855/ctl	/home/reyerchu/_gk_p855/repo	b4cd68c4991aa1112125f366e8ab453c14f14bfd	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=588 nadd=588 ndel=115 rule=R2 issue=
120	/home/reyerchu/_hygiene_shipped_path/wt2	/home/reyerchu/vibe-ic	6c0f54cc11d74549d6d91012817c837835e77dfb	refs/heads/fix/shipped-path-portability	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=153 nadd=153 ndel=4276 rule=R2 issue=
120	/home/reyerchu/_jppa_feas/wt	/home/reyerchu/vibe-ic	59fb763e893ecbc4b152cdbd5b8486cac5cb038f	refs/heads/jppa/feasibility-and-pareto	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=2878 nadd=2980 ndel=0 rule=R2 issue=
120	/home/reyerchu/_jppa_prscope/base	/home/reyerchu/vibe-ic	867de428920c708934f06411fc91225dc4f58fe6	(detached)	NEW		never judged
120	/home/reyerchu/_jppa_prscope/mut	/home/reyerchu/vibe-ic	02405e0ee001bda8efa146bfb29b6bd068b660f0	(detached)	NEW		never judged
120	/home/reyerchu/_jppa_prscope/tree	/home/reyerchu/vibe-ic	645393d04281f8aae8b60838df604c381df08707	refs/heads/jppa-prscope	MOVED	RECOVER	HEAD moved since judging (724d914a4 -> 645393d04); prior RECOVER is void
120	/home/reyerchu/_jppa_report/wt	/home/reyerchu/vibe-ic	19bfb5d1f8baeb5c58b6bbbead38aaaaf5961ca9	refs/heads/jppa/report-and-claims	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=2157 nadd=2298 ndel=0 rule=R2 issue=
120	/home/reyerchu/_jsearch2/base	/home/reyerchu/vibe-ic	e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075	(detached)	NEW		never judged
120	/home/reyerchu/_jsearch2/wt	/home/reyerchu/vibe-ic	81ce3543fcc2339060f8d752941df4d7ec46c1dc	refs/heads/jsearch2/space-and-feasibility	NEW		never judged
120	/home/reyerchu/_LRNor	/home/reyerchu/vibe-ic	a5c55ca22e748d48965b605d28ee45fd97cc29a8	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=302 nadd=302 ndel=0 rule=R2 issue=
120	/home/reyerchu/_pg_pair	/home/reyerchu/vibe-ic	f3ad1d1be9b243ce20cd69aad959428362f0796a	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=65 nadd=65 ndel=1313 rule=L2 issue=
120	/home/reyerchu/prcheck/iso	/home/reyerchu/vibe-ic	fa418a2b3378f27453a4cc6307ee9390ccd82d17	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=544 nadd=544 ndel=3964 rule=R2 issue=
120	/home/reyerchu/prcheck/pr2	/home/reyerchu/vibe-ic	3d7f8cc990208e274756c8b7717b3463a12f02cd	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=154 nadd=154 ndel=77 rule=R2 issue=1241
120	/home/reyerchu/prcheck/pr3	/home/reyerchu/vibe-ic	d557e69dd8b65a45c1398312ebc794ce9fbf5ea1	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=0 nadd=8646 ndel=0 rule=R2 issue=
120	/home/reyerchu/_racecheck/wt	/home/reyerchu/vibe-ic	8943579e7dc726446b0c9182e3744b35d951d484	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=2718 nadd=2719 ndel=104 rule=R2 issue=
120	/home/reyerchu/_spmslot2	/home/reyerchu/vibe-ic	db9451e1cc199a79d2eefa14024ec1e6b7c57d72	refs/heads/spmslot2	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=617 nadd=617 ndel=944 rule=R2 issue=
120	/home/reyerchu/vibe-ic-w3-1745	/home/reyerchu/vibe-ic	226a74697f4868aa011e3348e92e1e7de0293343	refs/heads/w3-unforgeable-1745	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=691 nadd=691 ndel=25 rule=R2 issue=1745
