host	path	repo	head	branch	kind	prior_verdict	notes
105	/home/reyerchu/campaign_v164_spm_ihp/wt_hand	/home/reyerchu/vibe-ic-repo	ec02e8bc9682218f001dd28fd3342ae6329806a3	refs/heads/capture/foundry-handoff-declares-spec-pdk-not-signoff-pdk	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=27 nadd=27 ndel=695 rule=R2 issue=
105	/home/reyerchu/campaign_v164_spm_ihp/wt_reg	/home/reyerchu/vibe-ic-repo	2ba8c296b86501d07b25ab351e2deb1c2d50d4c8	refs/heads/capture/pdk-registry-ihp-sg13cmos5l	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=182 nadd=316 ndel=115 rule=R2 issue=
105	/home/reyerchu/_fx63	/home/reyerchu/vibe-ic	083cc7d43c8523484ea5835cc8bf0ed260202e93	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1100 nadd=1107 ndel=47 rule=R2 issue=
105	/home/reyerchu/_j63	/home/reyerchu/vibe-ic	b2e4e7ecea371bae64b6dc6eb96dab4078d9db52	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1374 nadd=1379 ndel=50 rule=R2 issue=
105	/home/reyerchu/_jf2	/home/reyerchu/vibe-ic	cf9b878c07685c514805a65788f38a19f66fe9fe	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1727 nadd=1746 ndel=116 rule=R2 issue=
105	/home/reyerchu/_jppa_p0/tree	/home/reyerchu/vibe-ic	779e4eed514e163f9484599b83c4688834a74705	refs/heads/agent/jppa-p0-closed-loop-census	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1627 nadd=1627 ndel=1 rule=R2 issue=
105	/home/reyerchu/_jppa_runner/tree	/home/reyerchu/vibe-ic	8b055905044e820dd0af168fc3ded1933929a33f	refs/heads/jppa-runner/hints-only-and-the-runner-ledger	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1376 nadd=1376 ndel=13 rule=R2 issue=
105	/home/reyerchu/_jppatests	/home/reyerchu/vibe-ic	6c55e2dd0a67459ff10ef7cae2a2c0b1a0f87c8e	refs/heads/agent/jppa-tests	NEW		never judged
105	/home/reyerchu/_jppatests_base	/home/reyerchu/vibe-ic	e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075	(detached)	NEW		never judged
105	/home/reyerchu/_jppa_timing/base	/home/reyerchu/_jppa_timing/repo	867de428920c708934f06411fc91225dc4f58fe6	(detached)	NEW		never judged
