host	path	repo	head	branch	kind	prior_verdict	notes
108	/home/reyerchu/_cpath_priv/tree	/home/reyerchu/vibe-ic	af1072b95b8f1eedbb59a7ac0fc4c0b083e34cbf	refs/heads/cpath/pad-and-seal-ring-chip-path	MOVED	LANDED	HEAD moved since judging (867de4289 -> af1072b95); prior LANDED is void
108	/home/reyerchu/_dens_priv/wt-jdrc1177	/home/reyerchu/vibe-ic	6aa0d6abf1762c84710a5970d67fac623cbc82ad	refs/heads/fix/die-density	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=21 nadd=21 ndel=376 rule=R2 issue=
108	/home/reyerchu/_fix11	/home/reyerchu/vibe-ic	8e858cc68b8ff6e9289997b76412be26bf6b0237	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=3414 nadd=3415 ndel=110 rule=R2 issue=
108	/home/reyerchu/_fix11_base	/home/reyerchu/vibe-ic	d45922bc380e7d31e949f7988a246aff3b355cc0	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=2793 nadd=2794 ndel=110 rule=R2 issue=
108	/home/reyerchu/_gk1347	/home/reyerchu/vibe-ic	aa3b3676873a35d9ec3c67cdc0598cecb65357af	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=338 nadd=348 ndel=643 rule=R2 issue=1347
108	/home/reyerchu/_gk1734	/home/reyerchu/vibe-ic	89d4fb6ea5ae9ae149c4d8299083d466bd94a13f	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=550 nadd=550 ndel=44 rule=R2 issue=1734
108	/home/reyerchu/_i1348	/home/reyerchu/vibe-ic	b74d5d0a4c25564584ba3e5ad2b4862b313e9141	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=492 nadd=492 ndel=235 rule=R2 issue=1348
108	/home/reyerchu/_jcapture	/home/reyerchu/vibe-ic	b3628c8da99b212aa5fe371396c5945de84588f6	refs/heads/agent/jcapture-bucket-a-gates	NEW		never judged
108	/home/reyerchu/jf-63x8-work/basejm9	/home/reyerchu/vibe-ic	8a9c5ad9efdf732fab58171422a145c032c62b47	(detached)	NEW		never judged
108	/home/reyerchu/_jfeas	/home/reyerchu/vibe-ic	b7698b9d60988c350dc0bbaa0e88f8316518fe3a	refs/heads/agent/jppafeas-feasibility-producers	NEW		never judged
108	/home/reyerchu/_jfeas_base	/home/reyerchu/vibe-ic	e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075	(detached)	NEW		never judged
108	/home/reyerchu/_jppa_closure/tree	/home/reyerchu/vibe-ic	fe08aed032b96d061f352bdd9dc70faf9f0021c7	refs/heads/agent/jppa-closure	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=3802 nadd=4023 ndel=0 rule=R2 issue=
108	/home/reyerchu/_jppa_fixtures/tree	/home/reyerchu/vibe-ic	0dc3e9e7f81486e2594a191ea0ec1f8beb5c5dd1	refs/heads/agent/jppa-fixtures	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1065 nadd=1686 ndel=0 rule=R2 issue=
108	/home/reyerchu/_jppa_power/base	/home/reyerchu/_jppa_power/tree	867de428920c708934f06411fc91225dc4f58fe6	(detached)	NEW		never judged
108	/home/reyerchu/_pg_1613	/home/reyerchu/vibe-ic	94a991e5d032baa87f1a69cbfd43e09ca7f60795	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=415 nadd=812 ndel=5786 rule=R2 issue=
108	/home/reyerchu/_spmfinal_8HD-6	/home/reyerchu/vibe-ic	70b66ad07b0b493018334a1bbb43b30abea4f9f5	refs/heads/mg/gfinal-8hd6	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=309 nadd=309 ndel=994 rule=R2 issue=
108	/home/reyerchu/_tim_priv/wt-jsetup-timing	/home/reyerchu/vibe-ic	66085fbf5545eb6a7be48493556fb5b8cb1e5617	refs/heads/fix/setup-timing	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=16 nadd=16 ndel=250 rule=R2 issue=
108	/home/reyerchu/_v1123	/home/reyerchu/vibe-ic	f2bc39fd53543a5acd41ef78bc88631ceb0f30cc	refs/heads/pr1123	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=0 nadd=0 ndel=0 rule=L2 issue=1123
108	/home/reyerchu/wt-j63x8c	/home/reyerchu/vibe-ic	8a861bdc6d257112b011c615198ba32dca3e899c	refs/heads/jmatrix/63x8-main-reds	NEW		never judged
108	/home/reyerchu/wt-jf63x8b	/home/reyerchu/vibe-ic	ec46ce1e6ad098fb61dbfbe7821764570353b1f8	refs/heads/jfindings/63x8-producer-identity	MOVED	RECOVER	HEAD moved since judging (78ffef90a -> ec46ce1e6); prior RECOVER is void
108	/home/reyerchu/wt-jm9	/home/reyerchu/vibe-ic	509f10d85273bae6608a9494b39ba53a4a2f273b	refs/heads/jm9/rebased	NEW		never judged
108	/home/reyerchu/wt-jw1-tapeout	/home/reyerchu/vibe-ic	a48ad8b7856c973936b10287fad60957ffb4d5c3	refs/heads/agent/jw1-tapeout-readiness	NEW		never judged
108	/home/reyerchu/wt-jw2-extract-err	/home/reyerchu/vibe-ic	d8af5ec157cf38fc2f57fa41f3208dab8f1a2595	refs/heads/fix/jw2-extraction-error-channel-unread	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1232 nadd=1232 ndel=989 rule=R2 issue=
108	/home/reyerchu/wt-jw2-scratch-revert	/home/reyerchu/vibe-ic	64452a3fb93812c785bcf572e21a94032bf35ea6	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=1192 nadd=1192 ndel=989 rule=R2 issue=
108	/home/reyerchu/wt-main62	/home/reyerchu/vibe-ic	6dfe15a329e6e1fbd621d0bfaadaed41c3c5db9a	(detached)	NEW		never judged
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/0144f922-cbe4-48a4-937e-a5e723ca0cec/scratchpad/wt-base	/home/reyerchu/vibe-ic	867de428920c708934f06411fc91225dc4f58fe6	(detached)	NEW		never judged
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/0144f922-cbe4-48a4-937e-a5e723ca0cec/scratchpad/wt-ppa	/home/reyerchu/vibe-ic	c7f34a9822923c1ce9053b8c093cc10b2dca8f4d	refs/heads/jwire/ppa-wiring	NEW		never judged
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt	/home/reyerchu/vibe-ic	0aa57229f64d69904a7d70f302ab7093530fc654	(detached)	NEW		never judged
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt2	/home/reyerchu/vibe-ic	b6bb7de63d2b8e73bce75c5f5d7debeb3b48e889	(detached)	NEW		never judged
108	/tmp/claude-1000/-home-reyerchu-vibe-ic/4dda6029-53c1-403d-a352-47be4c3a1519/scratchpad/wt3	/home/reyerchu/vibe-ic	8342b9a636d262a3985c64463ad9fc4205e258e1	(detached)	NEW		never judged
112	/home/reyerchu/_a1456	/home/reyerchu/vibe-ic	3d13e2c59eb0e65527326b1f932050550c982188	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=0 nadd=0 ndel=0 rule=L2 issue=
112	/home/reyerchu/_a1610	/home/reyerchu/vibe-ic	66ed68a707f0237a47acfeb6fe87937316b7a780	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=68 nadd=68 ndel=1349 rule=R2 issue=
112	/home/reyerchu/_batch41	/home/reyerchu/vibe-ic	6c91641b85f489d839036bed3dcdce9d6152cf4e	(detached)	RECHECK	RECOVER	judged RECOVER vs main 867de428 (plugin v1.11.18); main is now a00f53f2 (v1.11.66) - its work may have landed since. code_add=768 nadd=969 ndel=5099 rule=R2 issue=
