host	path	ignored_entry	n_files	n_bytes
108	/home/reyerchu/_dens_priv/wt-jdrc1177	vibe-ic-marketplace/plugins/vibe-ic/.pytest_cache/	5	5497
108	/home/reyerchu/_dens_priv/wt-jdrc1177	vibe-ic-marketplace/plugins/vibe-ic/__pycache__/	1	1122
108	/home/reyerchu/_dens_priv/wt-jdrc1177	vibe-ic-marketplace/plugins/vibe-ic/programs/__pycache__/	37	1801221
108	/home/reyerchu/_dens_priv/wt-jdrc1177	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/__pycache__/	7	112049
108	/home/reyerchu/_dens_priv/wt-jdrc1177	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/fixtures/density_fill/__pycache__/	1	13774
108	/home/reyerchu/_jppa_closure/tree	tools/__pycache__/	2	25502
108	/home/reyerchu/_jppa_closure/tree	tools/ci/__pycache__/	2	65672
108	/home/reyerchu/_jppa_closure/tree	tools/core_agent/__pycache__/	1	14265
108	/home/reyerchu/_jppa_closure/tree	vibe-ic-marketplace/plugins/vibe-ic/.pytest_cache/	5	25953
108	/home/reyerchu/_jppa_closure/tree	vibe-ic-marketplace/plugins/vibe-ic/__pycache__/	1	1118
108	/home/reyerchu/_jppa_closure/tree	vibe-ic-marketplace/plugins/vibe-ic/_shared/__pycache__/	2	20418
108	/home/reyerchu/_jppa_closure/tree	vibe-ic-marketplace/plugins/vibe-ic/benchmark/__pycache__/	10	289850
108	/home/reyerchu/_jppa_closure/tree	vibe-ic-marketplace/plugins/vibe-ic/programs/__pycache__/	935	24359166
108	/home/reyerchu/_jppa_closure/tree	vibe-ic-marketplace/plugins/vibe-ic/programs/_ppa/__pycache__/	3	58270
108	/home/reyerchu/_jppa_closure/tree	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/__pycache__/	2681	42421667
108	/home/reyerchu/_jppa_closure/tree	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/fixtures/__pycache__/	1	6937
108	/home/reyerchu/_jppa_closure/tree	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/fixtures/density_fill/__pycache__/	1	13770
108	/home/reyerchu/_jppa_closure/tree	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/fixtures/synthetic_benchmark_phase1/	56	29187
108	/home/reyerchu/_jppa_closure/tree	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/matrix_63x8/__pycache__/	5	96710
108	/home/reyerchu/_jppa_closure/tree	vibe-ic-marketplace/plugins/vibe-ic/tools/phase1_engine/__pycache__/	8	119750
112	/home/reyerchu/_a1610	vibe-ic-marketplace/plugins/vibe-ic/.pytest_cache/	5	8747
112	/home/reyerchu/_a1610	vibe-ic-marketplace/plugins/vibe-ic/__pycache__/	1	1931
112	/home/reyerchu/_a1610	vibe-ic-marketplace/plugins/vibe-ic/programs/__pycache__/	160	5861797
112	/home/reyerchu/_a1610	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/__pycache__/	70	4477631
112	/home/reyerchu/_a1610	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/matrix_63x8/__pycache__/	4	100626
112	/home/reyerchu/_a1610	vibe-ic-marketplace/plugins/vibe-ic/tools/phase1_engine/__pycache__/	2	15420
112	/home/reyerchu/_ctrl1532	tools/__pycache__/	1	14847
112	/home/reyerchu/_ctrl1532	tools/vibeic-eda/__pycache__/	1	51367
112	/home/reyerchu/_ctrl1532	vibe-ic-marketplace/plugins/vibe-ic/.pytest_cache/	5	19274
112	/home/reyerchu/_ctrl1532	vibe-ic-marketplace/plugins/vibe-ic/__pycache__/	1	1915
112	/home/reyerchu/_ctrl1532	vibe-ic-marketplace/plugins/vibe-ic/_shared/__pycache__/	2	30972
112	/home/reyerchu/_ctrl1532	vibe-ic-marketplace/plugins/vibe-ic/benchmark/__pycache__/	3	195148
112	/home/reyerchu/_ctrl1532	vibe-ic-marketplace/plugins/vibe-ic/programs/__pycache__/	455	21606939
112	/home/reyerchu/_ctrl1532	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/__pycache__/	288	12822573
112	/home/reyerchu/_ctrl1532	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/matrix_63x8/__pycache__/	5	106641
112	/home/reyerchu/_ctrl1532	vibe-ic-marketplace/plugins/vibe-ic/skills/open-benchmark-methodology/tests/__pycache__/	1	7374
112	/home/reyerchu/_ctrl1532	vibe-ic-marketplace/plugins/vibe-ic/tools/phase1_engine/__pycache__/	8	171155
112	/home/reyerchu/_i_pin_v1519_1091	vibe-ic-marketplace/plugins/vibe-ic/.pytest_cache/	5	8618
112	/home/reyerchu/_i_pin_v1519_1091	vibe-ic-marketplace/plugins/vibe-ic/__pycache__/	1	1923
112	/home/reyerchu/_i_pin_v1519_1091	vibe-ic-marketplace/plugins/vibe-ic/programs/__pycache__/	149	5581453
112	/home/reyerchu/_i_pin_v1519_1091	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/__pycache__/	65	4023368
