path	novel	clean	undeclared_ignored	tracked	differs_tip	held	tree_on_main	named_path	blob	tipblob	holder	ign_entries	ign_files	ign_bytes	ign_classes
/home/reyerchu/_dens_priv/wt-jdrc1177	0	True		4817	1860	164	False	vibe-ic-marketplace/plugins/vibe-ic/programs/die_density_fill_gen.py	876bdab23ab802d3f8adc6efe1e8aed2a6f01f33	19fb25cbb3d5a49e5d07fae205c4177985dd0e5f	69ce9260dfd461cacf3c31d9cec2bbafa846e0fd	5	51	1933663	.pytest_cache/,__pycache__/
/home/reyerchu/_jppa_closure/tree	0	True		4868	1804	159	False	vibe-ic-marketplace/plugins/vibe-ic/programs/ppa_closure_run.py	b5dd9ac7fb7ffbc705c12a798310648ba0f438fd	704128a07a1e445226e5e1a5f4a7641e7910bf72	4ae306813f9500fa14a98626ece89db7db6f84a4	15	3713	67548235	.pytest_cache/,__pycache__/,synthetic_benchmark_phase1/
/home/reyerchu/_a1610	0	True		21922	19614	17736	False	vibe-ic-marketplace/plugins/vibe-ic/programs/matrix_mutation_ledger.py	aebcc675c3a39d7b86915b8b481b4f99a65206ac	d4d874f7de37855ee45431faf066c93049021495	aa9b39d5fce1f21b88a64b8501045f073eee6a08	6	242	10466152	.pytest_cache/,__pycache__/
/home/reyerchu/_ctrl1532	0	True		21799	19785	17779	False	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_matrix_63x8_coverage.py	b5116bc68afd5bf5cc0e9c109e3b917c1fef2f1f	02e15e40b3fb6b81a16ed22eccb478fc485da60a	9254968c84711cf48c53868af553f6e5fdb30264	11	770	35028205	.pytest_cache/,__pycache__/
/home/reyerchu/_i_pin_v1519_1091	0	True		21800	19784	17779	False	vibe-ic-marketplace/plugins/vibe-ic/programs/policy_direction_pin_check.py	926ecdf5e920fdbe03149c267d99cd938f085835	5d9fc7d5b1f910a000603796466228fb9f5c9a5a	a02094db428c80a9dbc74a9c08ce7e2a36c95824	6	226	9728080	.pytest_cache/,__pycache__/
/home/reyerchu/_i_solo_1517	0	True		21799	19785	17779	False	vibe-ic-marketplace/plugins/vibe-ic/programs/matrix_mutation_ledger.py	04f83a95324f66175f28c6155b20c33cad2fe39a	d4d874f7de37855ee45431faf066c93049021495	dcf1a43097fa509952c69580cc1b7f214b13df1a	6	212	9410555	.pytest_cache/,__pycache__/
/home/reyerchu/_jppa_contract/tree	0	True		4872	1806	165	False	vibe-ic-marketplace/plugins/vibe-ic/programs/ppa_contract_build.py	de28384571729222075c0c9ec1153a33c7821136	81c1e7b70c0601987070039e920e8386c0328daf	11af6b2eed659cadfaa4421b6da2c3fdfea5d6c4	12	712	31935581	.pytest_cache/,__pycache__/,synthetic_benchmark_phase1/
/home/reyerchu/vibe-ic-wt-a3prov	0	True		20602	20022	17440	False	vibe-ic-marketplace/plugins/vibe-ic/programs/analog_a4_corner_sweep_check.py	c943d2586c72d358e6d318ac23a5159a47328d33	d203dadae2a85f0bf71114d3fa46e9fdde4ae77d	4cfe6a28ab1ba31f60ce67e82baef83cd2e3a4da	12	2943	80683803	.pytest_cache/,__pycache__/,scratch_geom_signoff_tests/,vibe-ic-marketplace/plugins/vibe-ic/reports/
/home/reyerchu/_c_o_edge_llm_accel_nangate45_c2_scratch/wt_scope	0	True		21155	20112	17732	False	vibe-ic-marketplace/plugins/vibe-ic/programs/break_handler_safety_check.py	a6fa0dd7161a7502eaedfb98bd315db2062cf6b2	c1616e251c87e9e66a93cd4456c972401d62e587	f7a1186473da396ffc7ce84b158c4bc07921310d	90	269	4482343	.pytest_cache/,__pycache__/,vibe-ic-marketplace/plugins/vibe-ic/reports/
/home/reyerchu/_c_o_edge_llm_accel_nangate45_c2_scratch/wt_sdc	0	True		21155	20111	17731	True	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py	635b45f24883b49cfdaf36802b38c1e61d79ebda	2d83bcd3a729bd0b9df9e7871443283343576d93	ab57adbde7f42e9c99fbc9830a904b8c3def4661	88	160	1961874	.pytest_cache/,__pycache__/
/home/reyerchu/_c_o_edge_llm_accel_nangate45_c3_scratch/wt	0	True		21170	20090	17725	True	vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py	bca8e0140e47237166e359e753b99053a40714db	2d83bcd3a729bd0b9df9e7871443283343576d93	e030de1f06b0d479608d6bde5eed0a0b5da53d1b	89	238	3455075	.pytest_cache/,__pycache__/
/home/reyerchu/_c_o_edge_llm_accel_nangate45_scratch/wt_cdc	0	True		21138	20131	17734	False	vibe-ic-marketplace/plugins/vibe-ic/programs/rtl_scan_scope.py	c0ba80d88911de2c0effd2ff16eb91b86a559da3	3f175666f6364c164ad72ea620b9f34b064bd474	2d6f4ae92b8e355ccb8b35a5adc44855b7351534	6	118	4744498	.pytest_cache/,__pycache__/
/home/reyerchu/_c_o_edge_llm_matmul_accel_nangate45_scratch/wt_pr	0	True		21143	20121	17729	False	vibe-ic-marketplace/plugins/vibe-ic/programs/lec_run.py	d090bd05fbc43eae35d4211775accc7976b595a9	a5e9eb34ff86c6402bb3412a4a4d62fdf66c16e6	9e992e1930316cda23e863b31bc8959be3a6a32a	1	5	103128	.pytest_cache/
