host	path	head	head_object	merge_base	owned	owned_differing	untracked_all	tracked_modified	ignored_entries	ignored_files	ignored_bytes	clone_stashes	origin_main_in_clone
105	/home/reyerchu/_jppa_p0/tree	779e4eed514e163f9484599b83c4688834a74705	present	867de428920c708934f06411fc91225dc4f58fe6	5	1	0	0	7	239	8151656	3	81cd5321b082f9535f1a607a6feb7855498e7fe6
105	/home/reyerchu/_jppa_runner/tree	8b055905044e820dd0af168fc3ded1933929a33f	present	867de428920c708934f06411fc91225dc4f58fe6	3	0	0	0	10	433	12796475	3	81cd5321b082f9535f1a607a6feb7855498e7fe6
105	/home/reyerchu/_jppa_timing/base	867de428920c708934f06411fc91225dc4f58fe6	present	867de428920c708934f06411fc91225dc4f58fe6	0	0	0	0	5	150	7868247	0	81cd5321b082f9535f1a607a6feb7855498e7fe6
105	/home/reyerchu/_jppatests_base	e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075	present	e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075	0	0	0	0	6	114	2941329	3	81cd5321b082f9535f1a607a6feb7855498e7fe6
114	/home/reyerchu/_jcpath2/base2	a00f53f2094812041c8aa6094f27058bc1b14ddd	present	a00f53f2094812041c8aa6094f27058bc1b14ddd	0	0	0	0	2	10	105036	0	81cd5321b082f9535f1a607a6feb7855498e7fe6
114	/home/reyerchu/_jcpath2/mut	c0ecd5f1310978e8ac766f4e956abfe8be6d5a66	present	81cd5321b082f9535f1a607a6feb7855498e7fe6	1	1	0	0	11	388	13149856	0	81cd5321b082f9535f1a607a6feb7855498e7fe6
114	/home/reyerchu/_jcpath2/wt_new	c0ecd5f1310978e8ac766f4e956abfe8be6d5a66	present	81cd5321b082f9535f1a607a6feb7855498e7fe6	1	1	0	0	10	260	7794638	0	81cd5321b082f9535f1a607a6feb7855498e7fe6
114	/home/reyerchu/_jdeadline/measure	e4c5840d6f8ea75b9fa178bc943a0921d6159f3b	present	e4c5840d6f8ea75b9fa178bc943a0921d6159f3b	0	0	0	0	1	5	24914	0	81cd5321b082f9535f1a607a6feb7855498e7fe6
114	/home/reyerchu/_jicip/base	e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075	present	e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075	0	0	0	0	1	5	91432	0	81cd5321b082f9535f1a607a6feb7855498e7fe6
114	/home/reyerchu/_jlandpar/dev	01f0086263eaddebfe03942ffbe810d5fda284e3	present	8a9c5ad9efdf732fab58171422a145c032c62b47	19	6	0	0	5	64	2188534	0	81cd5321b082f9535f1a607a6feb7855498e7fe6
