rescue_ref	sha	already_on_live_origin
harvest/rescue-102-branchreflog-1-repo	bd8f634e36bbcfbccefe8b1fac56e3d5cda48836	NO
harvest/rescue-102-branchreflog-2-_landppa	751a1bb469c43112c7b73a1dbdc6970e9d5da804	NO
harvest/rescue-102-branchreflog-3-vibe-ic	531b10ddabc129cf46710cfc828bfcdfe5a9a998	NO
harvest/rescue-102-branchreflog-6-land	25602bcf1679f3f8d75593610992888fffe2f442	NO
harvest/rescue-102-localonly-1-_impl_deferred-gate-skip-by-ownership	6c7006e8ca30943f3e03d869c673a0384062664d	NO
harvest/rescue-102-localonly-10-vibe-ic	62e8828f798bf854e32991c76a4b0b5f0432aeab	NO
harvest/rescue-102-localonly-11-_wf_ae_a-control-that-collected-nothing	f620cf940ce53eeebf527ffedcc11900dc1f9534	NO
harvest/rescue-102-localonly-12-_wf_ae_a-control-that-collected-nothing_866v	c9b39f810f4b42f095c9dbf9eab9bec3551a2c87	NO
harvest/rescue-102-localonly-13-_wf_ae_a-stated-justification-must-be-checkable_v871	493d1635068bf3106cac4b9c2c9ba86639244f4b	NO
harvest/rescue-102-localonly-14-_wf_ae_sweep-must-reach-the-firing-path	0049ee0ad3cb3087505d8caae53794926081aa73	NO
harvest/rescue-102-localonly-15-_wf_ae_sweep-must-reach-the-firing-path_865v	0021c75d4dd332721b3a8d87523459aa033451fb	NO
harvest/rescue-102-localonly-16-_wf_ae_the-direction-must-be-pinned	435f680201d9493d497c1409a8744cc14df582f5	NO
harvest/rescue-102-localonly-17-_wf_ae_the-direction-must-be-pinned_v870	13fff4224f39ede1b48d0a979902b133753d3779	NO
harvest/rescue-102-localonly-18-alt	1c2ea905da1eb6b64db50b656166b754b26ef5f5	NO
harvest/rescue-102-localonly-19-fixprobe	c519a3301bbb624e0903b29d28fa05d2aa331c1f	NO
harvest/rescue-102-localonly-2-_impl_layer-demand-zero-needs-evidence	f591fdfe8bd34f9a7a009c29a46dbf958a9f82c3	NO
harvest/rescue-102-localonly-20-mut	83626c94f65e6692bc0163934d68d8112565c5b5	NO
harvest/rescue-102-localonly-21-repo	5d513aac4e4c4270568464a118a00f8839b78b0b	NO
harvest/rescue-102-localonly-22-verify_pr	dc5d3d5b09c2616a2761119e04957f4da993860d	NO
harvest/rescue-102-localonly-23-repo	77724dac34c853c32696ea302c50bf9f0ae3b522	NO
harvest/rescue-102-localonly-24-verify	31b9da5dcc162e1c2a9030fe29f99d1d779e524c	NO
harvest/rescue-102-localonly-25-repo	c38fb2592f79c8f7ddca0b4e7a749070b425eb9d	NO
harvest/rescue-102-localonly-26-vibe-ic	c6a41778954b03b31b4d52eb990acdd23357993c	NO
harvest/rescue-102-localonly-27-repo	085f222328d1f2ec2e449b7a29b7e0d926397cf5	NO
harvest/rescue-102-localonly-28-vibe-ic	44faaba501708dad78da9ef0722e1348df1bc2ca	NO
harvest/rescue-102-localonly-29-_wf_cap_detector-must-not-name-the-design	5ca1246b42c136d98260123f4c27fd0826cae8dc	NO
harvest/rescue-102-localonly-3-_impl_p0-umbrella-verdict-coverage	4157ab00ef705b237a1789aef0a5f6b34623ca10	NO
harvest/rescue-102-localonly-30-pr_clone	72180a5f62ca07caf38deae15b693589927efa22	NO
harvest/rescue-102-localonly-31-repo	82cdfdc762d3be70bc9d70263f86a4ff44c0e51d	NO
harvest/rescue-102-localonly-32-fresh	2387f89ee961e1fc5c0ebf781b1d25f669e8894e	NO
harvest/rescue-102-localonly-33-repo	bc6a0dc82587cfda80d6dbc0d0075cbb4267af52	NO
harvest/rescue-102-localonly-34-repo	6d37055639d87058cc1c5de7138d9497a57a319d	NO
harvest/rescue-102-localonly-35-repo	018d5037f011b1d457433c448d750c13873bd455	NO
harvest/rescue-102-localonly-36-repo	4d89abb6959641c1516bbd102aae2d87cb636ec5	NO
harvest/rescue-102-localonly-37-repo	c99d3a8fc793d8ea2242835c6b24710cfb47d264	NO
harvest/rescue-102-localonly-38-repo	72a37fea219413fc09a33ba3bed18e14b667ea62	NO
harvest/rescue-102-localonly-39-actv	f9f81332a1a70bfef40552d845c99d321c9c2925	NO
harvest/rescue-102-localonly-4-_impl_p0-uninvoked-gate-smoke	eb4bff360438a510a2c1863de928620dea0740d5	NO
harvest/rescue-102-localonly-40-bl2	af8d76bbcc427dbe225fdc22ab6b75a3ab5ca563	NO
harvest/rescue-102-localonly-41-blpr	9da3c4ddc3b2608dd079c3052360430eaeabc6a2	NO
harvest/rescue-102-localonly-42-repo	f380855495604b75396632b5631645ffa531dfde	NO
harvest/rescue-102-localonly-43-r788	323f8180c04f0247b7e87fc9a466ac061744474f	NO
harvest/rescue-102-localonly-44-r790	7b649c0a3055d6916bbb052d35f373daff50261a	NO
harvest/rescue-102-localonly-45-segvrepo	a7dea7ce5cbdfaa6351ac9af25898eeb4af28331	NO
harvest/rescue-102-localonly-46-adj	c85bcf38fb1391d06d7f5e10a87911d8029f6fc1	NO
harvest/rescue-102-localonly-47-vibe-ic-repo	d176ecc82610c3241b301fcdb0f5f129278375b5	NO
harvest/rescue-102-localonly-48-wt1703	b2c538e9aa2c2a10954adb04375381217b56c419	NO
harvest/rescue-102-localonly-49-vi1645	86488108c8f96a71c727fefd06104953263e2675	NO
harvest/rescue-102-localonly-5-_impl_pdk-provenance-from-load-path	5dd15f4c96c8b71f27865e94e7b2686f172a7a01	NO
harvest/rescue-102-localonly-50-wt1700	938ef6791b2df6a0693f8937c8bf199092f9bf56	NO
harvest/rescue-102-localonly-6-repo	a461a7310a62e2b78619cc492a0abffa85e0a795	NO
harvest/rescue-102-localonly-7-repo	52502ea40cc5469b04e897b2cca8a8f0f2daf1d8	NO
harvest/rescue-102-localonly-8-repo	895e8ec036ec3b52976ec21a2c9859c29d853062	NO
harvest/rescue-102-localonly-9-repo	ddeecbdfd86ac7d8833ba5e2996166d17f20ebf2	NO
harvest/rescue-102-localrefs-1-repo	63e23f3d72c47c0a4e80c285592864ebdc75027f	NO
harvest/rescue-102-localrefs-10-_landppa	fa763e30ea12ad7a262f41efc2b45d2b20153bfa	NO
harvest/rescue-102-localrefs-11-_landppa_base	735f06316e0ce72d4a660210cf5adaa322981c56	NO
harvest/rescue-102-localrefs-12-repo	d6daa83af9a212541c920ca8f30bfdb5b0c9e3f2	NO
harvest/rescue-102-localrefs-13-repo	88d7f5fd62bf1d2689796b4d01b01402a4cd4c5c	NO
harvest/rescue-102-localrefs-14-main	299308be1fd35972d0d08813f6f9b423d4432bdd	NO
harvest/rescue-102-localrefs-15-vibe-ic	95b891ea322870988041dcc8a6c754f56a8c7ad0	NO
harvest/rescue-102-localrefs-16-_wf_ae_a-control-that-collected-nothing	3506299fbbc99027bc4b091aa867bd5555abc49f	NO
harvest/rescue-102-localrefs-17-_wf_ae_a-control-that-collected-nothing_866v	08022ebe3a0d6401df54c4fcf8a045dd456ab5b0	NO
harvest/rescue-102-localrefs-18-_wf_ae_a-stated-justification-must-be-checkable	863ced77c4cc60ace040e3b6ade7776c20ccd28a	NO
harvest/rescue-102-localrefs-19-_wf_ae_a-stated-justification-must-be-checkable_v871	3693f5ae4ceae6ad9f8f62bef0f35339f78941ce	NO
harvest/rescue-102-localrefs-2-marketplace-upgrade-WiJcVG	38dc631a8c9638b94ff163e9308ba7929d12ad28	NO
harvest/rescue-102-localrefs-20-_wf_ae_sweep-must-reach-the-firing-path	077abc62b258db1c6bec77e86f595d596421b270	NO
harvest/rescue-102-localrefs-21-_wf_ae_sweep-must-reach-the-firing-path_865v	582912cff771a11cbc5d6423b151ba24161d54ed	NO
harvest/rescue-102-localrefs-22-_wf_ae_the-direction-must-be-pinned	d5d1b3d3e84ca3316b413a3c5fcdd2aa9b2b9fe4	NO
harvest/rescue-102-localrefs-23-_wf_ae_the-direction-must-be-pinned_v870	48d61d15354b9564e404b85d9a8ac4ddb75803fc	NO
harvest/rescue-102-localrefs-24-alt	d6db6130c27af122ecaa751cc0231a9aa6ffdb52	NO
harvest/rescue-102-localrefs-25-fixprobe	5e38c8696efa4bfedd31a39f320e9aa06aa90758	NO
harvest/rescue-102-localrefs-26-mut	79e48a50aee2cf2a1e07d76881ed7c35b656fb86	NO
harvest/rescue-102-localrefs-27-repo	a969b478f0e06e7ae07ed7e8cf3c12e28be4a607	NO
harvest/rescue-102-localrefs-28-verify_main	803869f401a5e01ec1e0d73920529ad34dbda8ea	NO
harvest/rescue-102-localrefs-29-verify_pr	1178248858813608c289aefe93dbb77d0bbc7fce	NO
harvest/rescue-102-localrefs-3-vibe-ic-marketplace	3adee65d850dbb3e6a6f95dbfd4141d09c99e104	NO
harvest/rescue-102-localrefs-30-repo	a0dc18b30560ce938f4651412a98bb4abf15e9a6	NO
harvest/rescue-102-localrefs-31-verify	78218769703455912059ba21450edd552bec3b01	NO
harvest/rescue-102-localrefs-32-repo	b8f40b2388452c88ebb1b86ce6b210cb6d4c137a	NO
harvest/rescue-102-localrefs-33-repo	6b8e0af2ec81156b2341955a5e1324687e76d516	NO
