path	current_verdict	judged_head	content	tracked_files	paths_differing_from_tip	paths_main_never_held	disk_state	example_novel_paths
/home/reyerchu/_pg_pair	RECOVER	f3ad1d1be9b243ce20cd69aad959428362f0796a	CONTENT_REACHED_MAIN	21922	17732	0	uall=4 mod=4 head=f3ad1d1be9b243ce20cd69aad959428362f0796a	
/home/reyerchu/_w5b	RECOVER	6e92df4fd47086ab2afbbe06c12d95a2e9d8c9b9	HOLDS_CONTENT_MAIN_NEVER_HAD	4765	206	21	uall=0 mod=0 head=6e92df4fd47086ab2afbbe06c12d95a2e9d8c9b9	tools/ci/repo_hygiene_gates.sh,vibe-ic-marketplace/README.md,vibe-ic-marketplace/plugins/vibe-ic/README.md
/home/reyerchu/_wt_c2	RECOVER	43e4297882c66f09fb49b6e014c25506c17a19ea	HOLDS_CONTENT_MAIN_NEVER_HAD	21836	17769	22	uall=0 mod=0 head=43e4297882c66f09fb49b6e014c25506c17a19ea	tools/ci/_gate_dispatch.sh,tools/ci/repo_hygiene_gates.sh,tools/gatekeeper-land.sh
/home/reyerchu/_wt_c3	RECOVER	8c34838bac6541b4adcfebae21694ddddc93258b	HOLDS_CONTENT_MAIN_NEVER_HAD	21835	17769	23	uall=0 mod=0 head=8c34838bac6541b4adcfebae21694ddddc93258b	tools/ci/_gate_dispatch.sh,tools/ci/repo_hygiene_gates.sh,tools/gatekeeper-land.sh
/home/reyerchu/_wt_compose	RECOVER	f3a384905ea93c5db3d3a707be6a8e00659c2eb5	HOLDS_CONTENT_MAIN_NEVER_HAD	21926	17721	2	uall=0 mod=0 head=f3a384905ea93c5db3d3a707be6a8e00659c2eb5	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_matrix_d3_outputs_produced.py,vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_matrix_d5_deps_correct.py
/home/reyerchu/_wt_n2	RECOVER	71ebf5645fd82bddae6a91ecf04d68886dcfcde7	HOLDS_CONTENT_MAIN_NEVER_HAD	21922	17732	1	uall=0 mod=0 head=71ebf5645fd82bddae6a91ecf04d68886dcfcde7	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_tool_gate_opens_when_the_tool_is_present.py
/home/reyerchu/_wt_pair	RECOVER	3e8005f874b6f33d10d95759b315227957c245d8	HOLDS_CONTENT_MAIN_NEVER_HAD	21802	17778	2	uall=2 mod=2 head=3e8005f874b6f33d10d95759b315227957c245d8	tools/gatekeeper-land.sh,vibe-ic-marketplace/plugins/vibe-ic/programs/INDEX.md
/home/reyerchu/_wt_union	RECOVER	dbe9bde9bbf4e7ab320b4525eb3475ec938a4ecf	HOLDS_CONTENT_MAIN_NEVER_HAD	21799	17775	1	uall=1 mod=1 head=dbe9bde9bbf4e7ab320b4525eb3475ec938a4ecf	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_v1916_the_tree_must_not_move_under_the_gates.py
/home/reyerchu/_wt_v1610	RECOVER	841f93a53e1a71a2427edacfacd8803ca5a95d83	CONTENT_REACHED_MAIN	21922	17732	0	uall=0 mod=0 head=841f93a53e1a71a2427edacfacd8803ca5a95d83	
/home/reyerchu/_wt_v1618	RECOVER	4a6aa19a569f3fa7fea56b8895a3c2a30e50c382	HOLDS_CONTENT_MAIN_NEVER_HAD	21923	17731	1	uall=0 mod=0 head=4a6aa19a569f3fa7fea56b8895a3c2a30e50c382	vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_tool_gate_opens_when_the_tool_is_present.py
/home/reyerchu/_wt_x	RECOVER	5475faad9e37e5030bbf279d4f8de22bfa293f3c	CONTENT_REACHED_MAIN	21799	17775	0	uall=3 mod=3 head=5475faad9e37e5030bbf279d4f8de22bfa293f3c	
