# jharv3 / host 108 (8HD-6) verdicts for shard C. Key on (host, path).
# CONTENT verdicts vs origin/main a00f53f2094 (v1.11.66). Snapshot 2026-08-21T17:45:36Z.
# All 30 shard-C rows on host 108 are here, plus 59 checkouts the shard list did not name.
host	path	repo	head	branch	verdict	class	own	differ	novel	volatile
108	/home/reyerchu/vibe-ic	/home/reyerchu/vibe-ic	9757886ec	fix/1410-replay-aggregate-budget	KEEP	KEEP_NOVEL_CONTENT	4	4	4	no
108	/home/reyerchu/_L1347	/home/reyerchu/vibe-ic	f2080e142	(detached)	KEEP	KEEP_SUPERSEDED_CONTENT_DIFFERS	3	2	0	no
108	/home/reyerchu/_cpath_priv/base	/home/reyerchu/vibe-ic	867de4289	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/home/reyerchu/_cpath_priv/tree	/home/reyerchu/vibe-ic	af1072b95	cpath/pad-and-seal-ring-chip-path	KEEP	KEEP_NOVEL_CONTENT	10	5	4	no
108	/home/reyerchu/_dens_priv/wt-jdrc1177	/home/reyerchu/vibe-ic	6aa0d6abf	fix/die-density	KEEP	KEEP_NOVEL_CONTENT	7	3	2	no
108	/home/reyerchu/_dens_priv/wt-jdrc1177-base	/home/reyerchu/vibe-ic	eda53573f	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/home/reyerchu/_fix11	/home/reyerchu/vibe-ic	8e858cc68	(detached)	KEEP	KEEP_NOVEL_CONTENT	10	7	5	no
108	/home/reyerchu/_fix11_base	/home/reyerchu/vibe-ic	d45922bc3	(detached)	KEEP	KEEP_NOVEL_CONTENT	9	7	6	no
108	/home/reyerchu/_g360	/home/reyerchu/vibe-ic	596e7620d	measure/g360-circuit-drc	DROP	DROP_ALL_FILES_MATCH	3	0	0	no
108	/home/reyerchu/_gf180b_priv/tree	/home/reyerchu/vibe-ic	a00f53f20	(detached)	DROP	DROP_ALL_FILES_MATCH	0	0	0	no
108	/home/reyerchu/_gk1347	/home/reyerchu/vibe-ic	aa3b36768	(detached)	KEEP	KEEP_NOVEL_CONTENT	5	5	5	no
108	/home/reyerchu/_gk1734	/home/reyerchu/vibe-ic	89d4fb6ea	(detached)	KEEP	KEEP_NOVEL_CONTENT	2	2	2	no
